year,Tm,Attendance,Attend/G,W,L
1903,Boston Americans,"379,338","5,419",91.0,47.0
1903,Washington Senators,"128,878","1,815",43.0,94.0
1903,St. Louis Browns,"380,405","5,434",65.0,74.0
1903,St. Louis Cardinals,"226,538","3,283",43.0,94.0
1903,Philadelphia Phillies,"151,729","2,487",49.0,86.0
1903,Philadelphia Athletics,"422,473","6,306",75.0,60.0
1903,New York Highlanders,"211,808","3,161",72.0,62.0
1903,Pittsburgh Pirates,"326,855","4,669",91.0,49.0
1903,New York Giants,"579,530","8,279",84.0,55.0
1903,Detroit Tigers,"224,523","3,454",65.0,71.0
1903,Cincinnati Reds,"351,680","4,627",74.0,65.0
1903,Cleveland Napoleons,"311,280","4,206",77.0,63.0
1903,Chicago White Sox,"286,183","4,088",60.0,77.0
1903,Chicago,"386,205","5,290",82.0,56.0
1903,Boston Nationals,"143,155","2,105",58.0,80.0
1903,Brooklyn Superbas,"224,670","3,078",70.0,66.0
1904,Chicago Cubs,"439,100","5,629",93.0,60.0
1904,Detroit Tigers,"177,796","2,251",62.0,90.0
1904,Pittsburgh Pirates,"340,615","4,367",87.0,66.0
1904,St. Louis Cardinals,"386,750","5,089",75.0,79.0
1904,Philadelphia Athletics,"512,294","6,485",81.0,70.0
1904,New York Highlanders,"438,919","5,852",92.0,59.0
1904,New York Giants,"609,826","7,260",106.0,47.0
1904,St. Louis Browns,"318,108","4,078",65.0,87.0
1904,Brooklyn Superbas,"214,600","2,824",56.0,97.0
1904,Cleveland Napoleons,"264,749","3,394",86.0,65.0
1904,Chicago White Sox,"557,123","7,143",89.0,65.0
1904,Cincinnati Reds,"391,915","4,961",88.0,65.0
1904,Boston Americans,"623,295","7,695",95.0,59.0
1904,Boston Nationals,"140,694","1,781",55.0,98.0
1904,Philadelphia Phillies,"140,771","1,928",52.0,100.0
1904,Washington Senators,"131,744","1,689",38.0,113.0
1905,Chicago Cubs,"509,900","6,295",92.0,61.0
1905,Detroit Tigers,"193,384","2,545",79.0,74.0
