Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Birmingham Black Barons,,,27.1,26.3,100,100,0,1,6,,Taylor
Baltimore Elite Giants,,,27.9,25.5,100,100,1,1,9,,Snow
Boston Red Sox,"716,234","9,066",28.1,28.9,104,102,5,4,11,"$234,700",Cronin
Brooklyn Dodgers,"975,978","12,049",28.4,31.8,107,105,3,6,19,,Durocher
Boston Bees,"241,616","3,222",26.3,28.1,93,95,1,2,9,,Stengel
Chicago American Giants,,,29.1,23.6,100,100,0,2,8,,Redus
Cleveland Bears,,,27.3,29.7,100,100,0,1,5,,Williams and Mitchell
Chicago Cubs,"534,878","6,946",28.9,29.7,97,97,3,4,13,,Hartnett
Chicago White Sox,"660,336","8,466",29.5,30.8,101,101,2,1,6,"$180,150",Dykes
Cincinnati Reds,"850,180","11,041",28.9,29.6,101,99,1,4,14,"$204,000",McKechnie
Cleveland Indians,"902,576","11,007",26.7,27.0,98,97,2,6,14,"$135,522",Vitt
Detroit Tigers,"1,112,693","14,085",29.4,27.8,109,108,4,3,16,"$194,100",Baker
Homestead Grays,,,30.8,29.5,100,100,4,3,10,,Harris
Kansas City Monarchs,,,29.3,28.2,100,100,5,3,12,,Cooper
Memphis Red Sox,,,28.6,22.9,100,100,0,4,10,,Jones
New York Black Yankees,,,30.1,31.0,100,100,0,2,9,,Burnett
Newark Eagles,,,27.8,23.2,100,100,3,3,11,,Lundy and Mackey
New York Cubans,,,28.8,29.5,100,100,1,3,11,,Fernández
New York Giants,"747,852","9,840",28.7,30.1,101,101,2,5,10,,Terry
New York Yankees,"988,975","13,013",28.1,30.0,96,92,5,7,19,"$386,400",McCarthy
Philadelphia Athletics,"432,145","6,087",26.9,27.6,97,101,1,2,7,"$133,000",Mack
Philadelphia Phillies,"207,177","2,622",27.4,27.9,95,101,1,3,10,,Prothro
Pittsburgh Pirates,"507,934","6,772",27.6,29.9,99,99,4,1,11,,Frisch
Philadelphia Stars,,,28.8,28.1,100,100,0,2,10,,Parnell and Dunn
St. Louis Browns,"239,591","3,112",28.1,29.8,102,105,0,1,8,"$146,550",Haney
St. Louis-New Orleans Stars,,,27.0,24.2,100,100,0,4,8,,Mitchell
St. Louis Cardinals,"324,078","4,209",27.0,28.8,105,103,3,2,19,,"Blades, González and Southworth"
Toledo/Indianapolis Crawfords,,,24.9,22.4,100,100,1,2,9,,Charleston
Washington Nationals,"381,241","4,951",26.8,26.0,93,95,1,2,13,"$82,150",Harris
