Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
Baltimore Orioles,"852,039","10,785",29.4,30.7,92,95,1,1,11,"$120,250",2:33,Richards
Boston Red Sox,"1,203,200","15,426",27.7,26.7,109,109,1,3,12,,2:34,Higgins
Brooklyn Dodgers,"1,033,589","13,423",29.8,26.2,104,101,7,4,17,"$231,000",2:34,Alston
Chicago Cubs,"875,800","11,374",28.5,29.7,100,102,1,4,9,,2:27,Hack
Chicago White Sox,"1,175,684","15,269",30.2,30.8,102,99,3,5,19,,2:35,Marion
Cincinnati Redlegs,"693,662","9,009",27.8,28.4,105,104,0,3,12,"$107,000",2:28,Tebbetts
Cleveland Indians,"1,221,780","15,867",30.5,29.8,104,101,6,6,27,"$254,900",2:37,Lopez
Detroit Tigers,"1,181,838","15,349",26.8,27.0,98,98,2,3,10,"$122,500",2:32,Harris
Kansas City Athletics,"1,393,054","18,330",28.7,28.1,100,105,1,2,12,"$134,000",2:31,Boudreau
Milwaukee Braves,"2,005,836","26,050",27.2,27.2,96,93,3,5,15,,2:30,Grimm
New York Giants,"824,112","10,432",28.6,29.7,101,101,3,2,13,"$229,000",2:35,Durocher
New York Yankees,"1,490,138","19,352",28.0,27.5,99,95,5,4,24,"$216,250",2:40,Stengel
Philadelphia Phillies,"922,886","11,986",28.9,28.7,98,98,2,3,12,,2:32,Smith
Pittsburgh Pirates,"469,397","6,259",25.6,26.8,98,101,1,1,10,,2:23,Haney
St. Louis Cardinals,"849,130","11,028",28.1,27.2,99,100,2,4,14,,2:32,Stanky and Walker
Washington Nationals,"425,238","5,523",27.4,26.1,96,99,1,1,15,,2:29,Dressen
