team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Arizona Diamondbacks,NL,"2,105,432",81,"25,993","2,444,199","15,746","49,076","352,637","299,778","353,546","243,925","407,750","447,796",Chase Field
Atlanta Braves,NL,"2,372,940",79,"30,037","2,487,412","13,865","51,331","307,927","432,044","301,798","517,034","372,109","442,028",Turner Field
Baltimore Orioles,AL,"1,755,461",80,"21,943","2,253,369","10,556","46,593","303,930","287,382","344,013","248,963","329,610","241,563",Oriole Park at Camden Yards
Boston Red Sox,AL,"3,054,001",81,"37,704","2,591,963","37,013","38,525","413,351","634,490","378,182","529,975","569,240","528,763",Fenway Park
Chicago Cubs,NL,"3,017,966",81,"37,259","2,656,585","26,292","42,374","487,213","560,815","509,439","516,492","504,765","439,242",Wrigley Field
Chicago White Sox,AL,"2,001,117",81,"24,705","2,369,763","16,523","38,579","275,923","239,828","412,337","375,125","397,528","300,376",Guaranteed Rate Field
Cincinnati Reds,NL,"2,213,588",81,"27,328","2,649,657","11,821","42,398","359,991","279,263","420,004","540,927","334,829","278,574",Great American Ballpark
Cleveland Indians,AL,"1,840,835",81,"22,726","2,484,360","10,594","41,721","199,968","264,403","289,276","392,178","382,950","312,060",Progressive Field
Colorado Rockies,NL,"2,909,777",81,"35,923","2,423,939","21,422","49,374","406,957","524,962","481,835","445,887","596,758","453,378",Coors Field
Detroit Tigers,AL,"2,642,045",81,"32,618","2,237,967","17,784","44,846","301,356","424,223","503,542","443,722","447,895","521,307",Comerica Park
Florida Marlins,NL,"1,520,562",80,"19,007","2,466,720","10,112","41,237","265,407","181,284","275,448","264,385","258,191","275,847","Sun Life Stadium, T-Mobile Park"
Houston Astros,NL,"2,067,016",81,"25,519","2,315,744","19,250","41,042","380,208","325,689","419,856","291,781","358,453","291,029",Minute Maid Park
Kansas City Royals,AL,"1,724,450",81,"21,290","2,369,887","10,080","40,055","270,641","332,022","320,686","225,581","283,671","291,849",Kauffman Stadium
Los Angeles Dodgers,NL,"2,935,139",81,"36,236","2,606,723","25,381","56,000","523,557","548,893","479,173","615,486","436,946","331,084",Dodger Stadium
Milwaukee Brewers,NL,"3,071,373",81,"37,918","2,391,250","22,861","46,017","440,179","510,723","442,301","518,413","622,458","537,299",American Family Field
Minnesota Twins,AL,"3,168,116",81,"39,113","2,344,923","34,228","41,378","383,806","428,647","473,272","718,501","679,425","484,465",Target Field
New York Mets,NL,"2,352,596",78,"30,161","2,646,396","21,015","42,042","346,019","398,559","336,002","374,785","463,980","433,251",Citi Field
New York Yankees,AL,"3,653,680",81,"45,107","2,691,486","40,045","49,556","703,789","581,700","744,890","602,593","377,545","643,163",Yankee Stadium II
Oakland Athletics,AL,"1,476,791",80,"18,460","2,468,614","10,122","36,067","237,940","281,582","220,801","300,588","174,089","261,791",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"3,680,718",81,"45,441","2,673,062","44,123","45,894","591,530","727,192","773,015","592,560","411,366","585,055",Citizens Bank Park
Pittsburgh Pirates,NL,"1,940,429",80,"24,255","2,472,443","10,517","39,511","204,990","226,601","447,596","368,081","435,620","257,541",PNC Park
San Diego Padres,NL,"2,143,018",81,"26,457","2,667,321","16,286","43,146","412,429","332,167","381,215","314,288","268,527","434,392",Petco Park
San Francisco Giants,NL,"3,387,303",81,"41,819","2,653,334","40,870","42,648","377,866","499,254","666,874","546,445","796,267","500,597",Oracle Park
Seattle Mariners,AL,"1,896,321",81,"23,411","2,257,736","11,692","45,727","249,104","334,244","368,231","264,131","415,404","265,207",T-Mobile Park
St. Louis Cardinals,NL,"3,093,954",81,"38,197","2,465,577","32,007","46,368","444,566","473,818","551,332","542,263","488,869","593,106",Busch Stadium III
Tampa Bay Rays,AL,"1,529,188",81,"18,879","2,296,632","10,042","34,078","260,645","264,257","207,297","246,405","266,433","284,151",Tropicana Field
Texas Rangers,AL,"2,946,949",81,"36,382","2,293,970","21,755","50,146","541,336","568,080","345,183","601,400","494,463","396,487",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"1,818,103",81,"22,446","2,240,174","11,077","47,984","263,758","292,251","223,397","464,015","284,793","289,889",Rogers Centre
Washington Nationals,NL,"1,940,478",78,"24,878","2,388,259","13,413","44,685","272,150","238,427","269,671","410,609","324,285","425,336",Nationals Park
Los Angeles Angels,AL,"3,166,321",81,"39,090","2,116,202","31,049","44,111","501,063","504,912","461,538","526,058","583,973","588,777",Angel Stadium of Anaheim
