Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Philadelphia Athletics,102,48,.680,4.3,2.9,1.5,-0.2,1.3,103-47,-1,57-19,45-29,23-19,81-37,21-11,43-22,59-26
2,Chicago Cubs,104,50,.675,4.6,3.2,1.4,-0.2,1.2,101-53,3,58-19,46-31,31-18,80-32,24-18,40-26,64-24
3,New York Giants,91,63,.591,4.6,3.7,1.0,-0.1,0.8,93-61,-2,52-26,39-37,28-21,58-42,33-21,35-31,56-32
4,New York Highlanders,88,63,.583,4.0,3.6,0.4,-0.1,0.4,84-67,4,49-25,39-38,30-20,78-55,10-8,31-34,57-29
5,Pittsburgh Pirates,86,67,.562,4.3,3.7,0.5,-0.1,0.4,85-68,1,46-30,40-37,23-22,70-57,16-10,31-35,55-32
6,Detroit Tigers,86,68,.558,4.4,3.8,0.6,-0.1,0.5,88-66,-2,46-31,40-37,19-17,52-36,34-32,32-34,54-34
7,Boston Red Sox,81,72,.529,4.1,3.6,0.5,-0.1,0.4,85-68,-4,51-28,30-44,25-27,56-51,25-21,25-41,56-31
8,Philadelphia Phillies,78,75,.510,4.3,4.1,0.2,0.0,0.2,80-73,-2,40-36,38-39,20-19,63-62,15-13,26-40,52-35
9,Cincinnati Reds,75,79,.487,4.0,4.4,-0.4,0.0,-0.4,70-84,5,39-37,36-42,23-18,67-73,8-6,34-54,41-25
10,Cleveland Naps,71,81,.467,3.4,4.1,-0.7,0.1,-0.6,63-89,8,39-36,32-45,29-22,64-74,7-7,32-54,39-27
11,Chicago White Sox,68,85,.444,2.9,3.1,-0.1,0.0,-0.1,73-80,-5,41-37,27-48,23-33,51-76,17-9,37-50,31-35
12,Brooklyn Superbas,64,90,.416,3.2,4.0,-0.8,0.1,-0.7,61-93,3,39-39,25-51,19-33,43-69,21-21,33-55,31-35
13,Washington Nationals,66,85,.437,3.2,3.5,-0.3,0.0,-0.3,69-82,-3,38-35,28-50,23-30,49-63,17-22,27-58,39-27
14,St. Louis Cardinals,63,90,.412,4.2,4.7,-0.5,0.1,-0.5,68-85,-5,35-41,28-49,18-20,50-67,13-23,33-54,30-36
15,Boston Doves,53,100,.346,3.2,4.5,-1.3,0.2,-1.1,53-100,0,29-48,24-52,17-28,47-84,6-16,23-64,30-36
16,St. Louis Browns,47,107,.305,2.9,4.7,-1.8,0.2,-1.6,44-110,3,26-51,21-56,22-26,31-83,16-24,24-64,23-43
,Average,76,76,.500,3.9,3.9,,,,76-76,,42-33,33-42,23-23,58-60,17-16,31-44,44-31
