Tm,W,L,W-L%,GB
Toronto Blue Jays,95,67,.586,--
New York Yankees,88,74,.543,7.0
Baltimore Orioles,85,77,.525,10.0
Detroit Tigers,85,77,.525,10.0
Boston Red Sox,80,82,.494,15.0
Cleveland Indians,76,86,.469,19.0
Milwaukee Brewers,69,93,.426,26.0
Chicago White Sox,94,68,.580,--
Texas Rangers,86,76,.531,8.0
Kansas City Royals,84,78,.519,10.0
Seattle Mariners,82,80,.506,12.0
California Angels,71,91,.438,23.0
Minnesota Twins,71,91,.438,23.0
Oakland Athletics,68,94,.420,26.0
Philadelphia Phillies,97,65,.599,--
Montreal Expos,94,68,.580,3.0
St. Louis Cardinals,87,75,.537,10.0
Chicago Cubs,84,78,.519,13.0
Pittsburgh Pirates,75,87,.463,22.0
Florida Marlins,64,98,.395,33.0
New York Mets,59,103,.364,38.0
Atlanta Braves,104,58,.642,--
San Francisco Giants,103,59,.636,1.0
Houston Astros,85,77,.525,19.0
Los Angeles Dodgers,81,81,.500,23.0
Cincinnati Reds,73,89,.451,31.0
Colorado Rockies,67,95,.414,37.0
San Diego Padres,61,101,.377,43.0
